"#","#","*","-","-","-","(Last updated: August 2026)","","Sardinia 2026","","","","","","","","","Austria 2025","","","","","","","","","Sardinia 2025","","","","","","","","","AC 2024","","","","","","","","","Sardinia 2024","","","","","","","","","WC 2023","","","","","","","","","AC 2019","","","","","","","","","AC 2017","","","","","","","","","EC 2017","","","","","","","","","WC 2016","","IC 2015","","","","","","","","WC 2014","","WC 2013","",""
"","","","Name","Player","Team","Continent","","100%","","","S-R","","","","","BP","100%","","","S-R","","","","","","75%","","","S-R","","","","","","75%","","","S-R","","","","","","50%","","","S-R","","","","","","62%","","","S-R","","","","","","10%","","","S-R","","","","","","1%","","","S-R","","","","","","1%","","","S-R","","","","","","28%","","1%","","","","","","","","12%","","5%","",""
"52","45","*","Mauro","Picciau","Italy","Europe","105","4R","45","45","S","1,0","5","5","1","","","","","","","","","","","FG","15","15","S","1,0","4","4","0","0","","","","","","","","","","4F","45","45","S","1,0","5","5","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","45","*","Alain","Van Mieghem","Belgium","Europe","105","4R","45","45","S","1,0","5","5","2","","4R","45","45","S","1,0","5","5","1","0","FG","15","15","S","1,0","4","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1,0","4","4","0","0","","","","",""
"53","","","Mauro","Gheorghe","Romania","Europe","104,55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3,75","3,75","S","1,0","6,0","6","4","0","4F","100,8","","","","","","","","","","","","",""
"54","","","Fernando","Pérez","Uruguay","America","100,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","100,8","","","","","","","","","","","","",""
"54","","","Agustín","Álvarez","Uruguay","America","100,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4F","100,8","","","","","","","","","","","","",""
"55","","","Ilinca","Nicusor","Romania","Europe","91,875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1,875","3,75","R","1,0","6,0","6","4","0","4F","90","","","","","","","","","","","","",""
"56","","","Josep","Suau","Spain","Europe","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","90","","",""
"56","45","","Zsolt","Bánfalvi ","Hungary","Europe","90","","","","","","","","","","4F","90","90","S","1,0","6","6","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","45","","Béla","Illés","Hungary","Europe","90","","","","","","","","","","4F","90","90","S","1,0","6","6","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","45","","Tamás","Bócz","Hungary","Europe","90","","","","","","","","","","4F","90","90","S","1,0","6","6","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
